\N,"5",\N,\N,\N,"5",\N,\N,\N,"4","3","3","5","4","4","6","John","nhon"
"4",\N,\N,\N,"2",\N,"2","1","3","2","1","4",\N,\N,\N,"10","Mary","yram"
\N,\N,"1","2",\N,\N,"3","2","1",\N,\N,\N,"5","4","3","6","Michael","leahcim"
\N,"4",\N,"2",\N,\N,"2","1","3","1","1","2",\N,\N,\N,"5","Susan","nasus"
"3",\N,\N,\N,\N,"5","3","3","5",\N,\N,\N,"5","1","3","2","Chris","sirhc"
"4",\N,\N,\N,\N,"4","4","3","4",\N,\N,\N,"4","1","1","4","Karen","nerak"
"4",\N,\N,\N,"5",\N,"5","2","4","5","2","1",\N,\N,\N,"5","Brian","nairb"
"3",\N,\N,\N,\N,"5","5","1","1",\N,\N,\N,"3","4","4","10","Amanda","adnama"
\N,"2",\N,"2",\N,\N,"2","2","3","1","5","1",\N,\N,\N,"7","Edward","drawde"
\N,\N,"5",\N,"4",\N,\N,\N,\N,"2","3","5","3","4","4","1","Laura","arual"
\N,\N,"3",\N,"2",\N,\N,\N,\N,"4","4","4","1","3","3","10","Alex","xela"
